Ligand_Name,Site_Number,With_Or_Without_Water,RMSD Value
Rutin,Site2,With_Water,0.2959739
Rutin,Site2,With_Water,0.33255982
Rutin,Site2,Without_Water,0.000228596
Rutin,Site2,Without_Water,0.32654887
Rutin,Site2,Without_Water,0.21470092
Rutin,Site2,Without_Water,0.30281335
Torvoside_H,Site1,With_Water,0
Torvoside_H,Site1,With_Water,0.36796033
Torvoside_H,Site1,With_Water,0.39104277
Torvoside_H,Site1,With_Water,0.5432665
Torvoside_H,Site1,Without_Water,0
Torvoside_H,Site1,Without_Water,0.046574056
Torvoside_H,Site1,Without_Water,0.042578164
Torvoside_H,Site1,Without_Water,0.4595926
Torvoside_H,Site2,With_Water,0
Torvoside_H,Site2,With_Water,0.47059205
Torvoside_H,Site2,With_Water,0.43900862
Torvoside_H,Site2,With_Water,0.40463582
Torvoside_H,Site2,Without_Water,0
Torvoside_H,Site2,Without_Water,0.17830114
Torvoside_H,Site2,Without_Water,0.2178523
Torvoside_H,Site2,Without_Water,0.32275373
Chrysin,Site1,With_water,0
Chrysin,Site1,With_water,0.002145681
Chrysin,Site1,With_water,0.00628191
Chrysin,Site1,With_water,0.006406316
Chrysin,Site1,Without_water,0
Chrysin,Site1,Without_water,0.000256458
Chrysin,Site1,Without_water,0.1769622
Chrysin,Site1,Without_water,0.00640118
Chrysin,Site2,With_water,0
Chrysin,Site2,With_water,0.0235411
Chrysin,Site2,With_water,0.17704256
Chrysin,Site2,With_water,0.075747386
Chrysin,Site2,Without_water,0
Chrysin,Site2,Without_water,0.008294341
Chrysin,Site2,Without_water,0.03800988
Chrysin,Site2,Without_water,0.15476558
Chrysin,Site3d,With_water,0.000181343
Chrysin,Site3d,With_water,0.14091562
Chrysin,Site3d,With_water,0.08115828
Chrysin,Site3d,With_water,0.17696853
Chrysin,Site3d,Without_water,0
Chrysin,Site3d,Without_water,0.032687567
Chrysin,Site3d,Without_water,0.116319835
Chrysin,Site3d,Without_water,0.002279447
Chrysin,Site3m,With_water,0
Chrysin,Site3m,With_water,0.042948082
Chrysin,Site3m,With_water,0.1180506
Chrysin,Site3m,With_water,0.10755251
Chrysin,Site3m,Without_water,0
Chrysin,Site3m,Without_water,0.1796631
Chrysin,Site3m,Without_water,0.1401249
Chrysin,Site3m,Without_water,0.1245237
Curcumin,Site1,With_water,0.000201449
Curcumin,Site1,With_water,0.1861211
Curcumin,Site1,With_water,0.20032628
Curcumin,Site1,With_water,0.18653686
Curcumin,Site1,Without_water,0
Curcumin,Site1,Without_water,0.13699467
Curcumin,Site1,Without_water,0.26949382
Curcumin,Site1,Without_water,0.27538297
Curcumin,Site2,With_water,0
Curcumin,Site2,With_water,0.19279282
Curcumin,Site2,With_water,0.31622717
Curcumin,Site2,With_water,0.2949233
Curcumin,Site2,Without_water,0.000201449
Curcumin,Site2,Without_water,0.31205407
Curcumin,Site2,Without_water,0.24989308
Curcumin,Site2,Without_water,0.3142128
Curcumin,Site3d,With_water,0
Curcumin,Site3d,With_water,0.30228752
Curcumin,Site3d,With_water,0.044159267
Curcumin,Site3d,With_water,0.21039793
Curcumin,Site3d,Without_water,0.000201449
Curcumin,Site3d,Without_water,0.3510226
Curcumin,Site3d,Without_water,0.31027398
Curcumin,Site3d,Without_water,0.3800205
Curcumin,Site3m,With_water,0
Curcumin,Site3m,With_water,0.32699883
Curcumin,Site3m,With_water,0.33048874
Curcumin,Site3m,With_water,0.33173332
Curcumin,Site3m,Without_water,0
Curcumin,Site3m,Without_water,0.1926726
Curcumin,Site3m,Without_water,0.4677574
Curcumin,Site3m,Without_water,0.12938169
Hyperoside,Site1,With_water,0
Hyperoside,Site1,With_water,0.25276938
Hyperoside,Site1,With_water,0.26360732
Hyperoside,Site1,With_water,0.28009164
Hyperoside,Site1,Without_water,0
Hyperoside,Site1,Without_water,0.26659384
Hyperoside,Site1,Without_water,0.26948592
Hyperoside,Site1,Without_water,0.057504807
Hyperoside,Site2,With_water,0
Hyperoside,Site2,With_water,0.13731955
Hyperoside,Site2,With_water,0.3161291
Hyperoside,Site2,With_water,0.30034372
Hyperoside,Site2,Without_water,0.000189704
Hyperoside,Site2,Without_water,0.32507262
Hyperoside,Site2,Without_water,0.25077972
Hyperoside,Site2,Without_water,0.32948345
Hyperoside,Site3d,With_water,0
Hyperoside,Site3d,With_water,0.027065288
Hyperoside,Site3d,With_water,0.16675124
Hyperoside,Site3d,With_water,0.22576378
Hyperoside,Site3d,Without_water,0
Hyperoside,Site3d,Without_water,0.2773979
Hyperoside,Site3d,Without_water,0.09949189
Hyperoside,Site3d,Without_water,0.12755084
Hyperoside,Site3m,With_water,0
Hyperoside,Site3m,With_water,0.019251946
Hyperoside,Site3m,With_water,0.2870492
Hyperoside,Site3m,With_water,0.26691356
Hyperoside,Site3m,Without_water,0
Hyperoside,Site3m,Without_water,0.17417486
Hyperoside,Site3m,Without_water,0.08415047
Hyperoside,Site3m,Without_water,0.20363028
Nelfinavir,Site1,With_water,0
Nelfinavir,Site1,With_water,0.36734146
Nelfinavir,Site1,With_water,0.41159898
Nelfinavir,Site1,With_water,0.3728947
Nelfinavir,Site2,With_water,0
Nelfinavir,Site2,With_water,0.29021004
Nelfinavir,Site2,With_water,0.30225796
Nelfinavir,Site2,With_water,0.27917123
Nelfinavir,Site2,Without_water,0
Nelfinavir,Site2,Without_water,0.15443984
Nelfinavir,Site2,Without_water,0.3396936
Nelfinavir,Site2,Without_water,0.2749596
Nelfinavir,Site3d,With_water,0.000210611
Nelfinavir,Site3d,With_water,0.21385075
Nelfinavir,Site3d,With_water,0.47485313
Nelfinavir,Site3d,With_water,0.46755448
Nelfinavir,Site3d,Without_water,0
Nelfinavir,Site3d,Without_water,0.06297512
Nelfinavir,Site3d,Without_water,0.2578286
Nelfinavir,Site3d,Without_water,0.28872955
Nelfinavir,Site3m,With_water,0
Nelfinavir,Site3m,With_water,0.18392192
Nelfinavir,Site3m,With_water,0.44558695
Nelfinavir,Site3m,With_water,0.48221266
Nelfinavir,Site3m,Without_water,0
Nelfinavir,Site3m,Without_water,0.21989602
Nelfinavir,Site3m,Without_water,0.23183867
Nelfinavir,Site3m,Without_water,0.38325736
Oroxylin_A,Site1,With_water,0
Oroxylin_A,Site1,With_water,0.17469256
Oroxylin_A,Site1,With_water,0.18420528
Oroxylin_A,Site1,With_water,0.0993597
Oroxylin_A,Site1,Without_water,0
Oroxylin_A,Site1,Without_water,0.18877141
Oroxylin_A,Site1,Without_water,0.11496761
Oroxylin_A,Site1,Without_water,0.10306657
Oroxylin_A,Site2,With_water,0.000169998
Oroxylin_A,Site2,With_water,0.1047939
Oroxylin_A,Site2,With_water,0.08964764
Oroxylin_A,Site2,With_water,0.120692745
Oroxylin_A,Site2,Without_water,0
Oroxylin_A,Site2,Without_water,0.0971181
Oroxylin_A,Site2,Without_water,0.16092247
Oroxylin_A,Site2,Without_water,0.120411314
Oroxylin_A,Site3d,With_water,0
Oroxylin_A,Site3d,With_water,0.11566904
Oroxylin_A,Site3d,With_water,0.12135956
Oroxylin_A,Site3d,With_water,0.11823497
Oroxylin_A,Site3d,Without_water,0.000240413
Oroxylin_A,Site3d,Without_water,0.009943049
Oroxylin_A,Site3d,Without_water,0.12947443
Oroxylin_A,Site3d,Without_water,0.13301112
Oroxylin_A,Site3m,With_water,0
Oroxylin_A,Site3m,With_water,0.115890324
Oroxylin_A,Site3m,With_water,0.11848487
Oroxylin_A,Site3m,With_water,0.16827713
Oroxylin_A,Site3m,Without_water,0
Oroxylin_A,Site3m,Without_water,0.12884727
Oroxylin_A,Site3m,Without_water,0.15790747
Oroxylin_A,Site3m,Without_water,0.16374883
Rhein,Site1,With_water,0.000130499
Rhein,Site1,With_water,0.000412673
Rhein,Site1,With_water,0.059667863
Rhein,Site1,With_water,0.059638884
Rhein,Site1,Without_water,0
Rhein,Site1,Without_water,0.004280674
Rhein,Site1,Without_water,0.004835499
Rhein,Site1,Without_water,0.010904253
Rhein,Site2,With_water,0
Rhein,Site2,With_water,0.060219012
Rhein,Site2,With_water,0.071337305
Rhein,Site2,With_water,0.029899573
Rhein,Site2,Without_water,0
Rhein,Site2,Without_water,0.02572777
